,price
6357,3699994.3000000003
2915,8644984.5
1813,2799984.0
1271,6099993.9
5474,5389977.600000001
4331,11499990.600000001
3513,9399941.3
5968,6499984.0
5081,9699994.0
6277,2940000.0
3150,9299981.700000001
820,3998998.6
2313,4149982.1999999997
2008,2999986.0
4838,9099968.0
2642,7410365.4
4508,9699984.0
7302,10899980.0
2305,4499995.5
7167,7989992.5
5774,5899981.0
99,1699980.5999999999
4704,11099965.5
744,1969994.0
7694,5699988.6
7412,8799985.5
3984,7299978.0
480,3799983.5
5307,4589989.2
7773,5999983.5
5667,5549998.5
1157,4999986.4
6788,5499972.0
7660,6249997.600000001
6251,3589990.1100000003
1437,4899979.0
2414,8599998.0
4694,11199949.799999999
402,6199993.0
5448,6399974.0
2195,2849994.0
949,4849965.0
3852,6199944.399999999
2067,6289588.8
4159,8099996.8
7200,7500000.0
668,1899993.6
218,2969977.0
3366,4649999.7
7713,5699986.5
1962,2949967.5
6004,7199985.0
5910,6199974.0
2213,4899995.0
2633,6498988.0
1659,6749974.0
7038,6999998.4
6652,5149989.600000001
5996,6630750.0
5493,5599976.0
2145,3000000.0
777,3534988.0
2434,8499985.0
3066,8299978.4
6220,4249986.8
5754,5949971.199999999
4586,9849956.8
6112,6813179.999999999
1491,5999972.0
3545,8489982.799999999
3153,8799973.5
3785,6749964.0
3706,6998994.0
7910,4599998.100000001
7484,9199992.4
4647,10899963.0
517,3299997.8000000003
3955,5999988.0
4165,8499959.1
4534,10099938.0
5501,5599974.9
7793,4603982.5
6136,5999980.0
1415,5490000.0
568,1499992.2
360,3349998.7
4054,8499941.0
6905,2949999.0
5223,6289980.0
4436,9589998.0
3100,8999978.700000001
7058,6999993.0
759,3550000.0
3548,8699980.8
4386,9999991.200000001
7530,11799975.2
7724,6499983.600000001
6506,4849999.2
7151,6991379.2
214,2899980.0
3803,7199876.4
5818,6699981.1
3703,7444990.8
4871,10499995.799999999
3639,6499962.0
4686,10999994.5
1473,5799964.5
2244,4249985.6
725,2649996.0
6418,4889986.4
3560,8539992.0
49,7489965.800000001
6278,2850000.0
5970,6349967.58
3130,9499979.5
887,5289984.0
7014,3649996.5
6728,5649971.4
2893,8457988.1
5541,5100000.0
7238,8799999.6
516,2569990.5
3168,8800000.0
2949,8399979.5
7950,5158984.0
139,1999996.0
3834,6489998.4
4201,7799936.5
5351,5099987.2
3197,9099965.0
5400,4149999.3000000003
112,2199987.6
3195,8549979.9
463,4329969.0
4952,12989997.0
1233,6349972.2
3250,3899997.0
594,3649970.1
4872,10799984.0
450,4749978.6
4988,11999976.76
3277,8599987.200000001
4139,7099995.899999999
4955,12899978.6
312,3689972.0
4002,8349997.600000001
7526,11890000.0
4667,11149933.5
4857,9749949.0
7240,8599995.299999999
5402,5499987.3
451,5099988.6
3166,8999988.3
6109,6199966.8
6476,4249994.4
3626,6299976.0
890,4799964.0
2763,7899984.0
658,2598998.4
1506,5498998.7
4022,7599952.399999999
4560,9999000.0
7497,10699976.0
999,4899988.0
389,6179976.0
3407,5989988.399999999
2330,3249995.1999999997
1476,6499966.0
2240,4449991.0
7202,8499996.0
7213,9099997.5
6686,4998000.0
3947,6499956.8
6758,2289997.8000000003
2972,8699969.9
3386,5949979.2
2775,8099992.799999999
1923,6749989.399999999
758,3089996.0
700,1799995.8
7016,3849890.0
1293,5798987.399999999
7069,6649999.2
2873,8699989.200000001
6705,2699984.1
2535,6649992.4
6736,2999991.1999999997
1907,8199961.6
7763,6148980.6
5572,4849980.0
368,6899995.5
1937,3179965.0
5359,4999987.0
1151,5689992.0
7680,5899992.0
5096,8499994.200000001
4198,8148953.199999999
7108,6499995.600000001
3010,8882468.799999999
7877,3299989.0
191,2700000.1
5110,8089990.8
7762,6199974.899999999
174,2529987.0
1903,8298990.0
1099,5839984.8
8001,5299999.7
3646,5989993.8
3408,5753899.8
4248,8849958.0
2292,4199995.8
6981,3379995.5
7786,5899979.7
5327,5149980.0
7504,10849981.9
1164,6399985.8
4500,9889976.0
4657,11199840.6
6827,5569992.600000001
7180,7749978.3
5028,10799989.200000001
3664,6499984.0
5680,5499982.8
1661,5999976.0
508,2949988.8000000003
166,2700000.0
4161,6649980.0
5521,5099993.5
1006,4699986.5
5600,5799994.5
3269,8899989.0
5411,6499977.0
3494,10499965.0
4689,11159946.0
103,1199996.0
3265,8989988.5
1111,5949981.6
4874,10899954.0
4086,7299993.300000001
1104,6299983.199999999
6521,4499987.100000001
1752,7449987.0
7157,7599993.5
4513,9999945.1
4462,7799970.0
5516,5300000.0
2916,8499976.8
6223,4333997.22
1658,6199965.180000001
152,3099984.0
4407,9399915.0
2483,6424890.0
1583,7299993.04
6742,1800000.0
2552,6101986.8
7840,2699000.0
3942,5949974.399999999
3551,8349974.4
3722,7149972.0
4377,9949941.4
7861,2730000.0
5708,5449982.4
7001,3499992.8
2209,5000000.0
4453,8599996.0
7980,5098983.0
5903,6699989.600000001
2985,7799978.999999999
1822,2249982.0
4483,8499982.4
6300,4500000.0
4698,10443990.0
7841,3019500.0
7540,8299972.8
309,3199970.4
212,2249970.0
7584,12189894.200000001
4818,8499997.0
3599,7149954.0
3622,6879990.0
4392,9500000.0
7387,7798955.800000001
3450,7899984.0
495,3349979.5
5756,6399998.0
3256,2699992.8
205,2499995.0
1434,3700000.0
1135,6099987.600000001
2584,5199980.8
868,4550000.0
2749,6749801.100000001
3613,6800000.0
305,3699960.0
1849,2499992.0
4246,8889939.9
6362,3699991.36
1988,2499989.4000000004
3240,9299986.0
2798,7998969.0
4546,10299960.0
1534,5400000.0
3109,5249004.5
843,4999978.8
1987,2498990.0
5518,5499974.7
6229,4499988.0
1714,7499965.600000001
383,6499975.0
1538,5149985.37
211,2649984.0
3388,5799989.100000001
7863,2601000.0
1957,3149969.88
7332,5699965.800000001
2438,8599988.4
2727,7558995.1
4685,10949955.0
6105,6299973.899999999
1349,5489988.0
6557,4899972.4
4110,6549998.5
3580,7399960.4
6355,3799991.0
680,1799998.4
180,2489982.0
7623,8649997.8
4550,10299940.0
7402,8099982.0
6154,5299982.4
278,2999985.5
3855,6189944.199999999
3319,8499972.1
3252,9199990.0
2518,7199996.800000001
2480,6838997.699999999
289,3349995.0
3075,8339975.0
4996,11799966.64
4336,11098980.0
6027,6999984.0
993,4989996.0
3235,9271023.200000001
2236,4499992.0
7989,5411241.74
39,2848979.2
7809,4498313.600000001
5833,5999974.8
7570,13499972.64
2754,7599997.800000001
6424,4899978.0
5041,10299998.4
270,2800000.0
3892,4999968.0
2883,8739973.6
6549,5549998.5
7519,10500000.0
6724,5999972.0
7214,9000000.0
6904,7599984.0
6858,6699980.0
111,2199995.1
3218,9199971.0
1391,5899984.2
2600,5849997.600000001
220,2899997.1
7211,9199976.7
4834,8949971.8
3973,7799999.9
7136,6960000.0
83,1949995.2
873,5100000.0
7423,8899920.0
5021,10999970.04
461,4600000.0
7048,6999993.0
7491,10499970.0
551,1649995.2
4537,10699973.0
2374,4999995.0
7867,4499996.8
5382,4899992.5
2246,4249997.5
7541,8499952.0
4562,9998985.5
2450,7759999.999999999
2329,4350000.0
6723,5099980.6
2146,2950000.0
5718,5999972.0
6511,4499987.100000001
7851,2800000.0
650,4289997.600000001
7532,11499954.799999999
708,2399995.2
6851,5749972.8
4275,8489960.0
4375,9899941.5
4194,8298991.0
3063,8499992.299999999
5384,4299974.4
3349,3749992.8
1424,5849996.0
1216,6699991.0
6312,4099994.4
1924,7349990.4
104,1652990.0999999999
1064,5299971.600000001
3786,6849999.0
314,3259985.7
1289,5989986.0
4461,8199991.8
1427,5279995.199999999
4626,10499931.799999999
6310,4399995.6
3129,9439990.0
5759,6149969.100000001
6486,4899979.3
3008,8900000.0
